TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-03-20,24.7,30.4,27.3,84,5.1,5.3,4,260,2,S,441.6666667,40.55,0.18756,50,3313.56,17.561868,,,,,
2025-03-21,24.8,31.3,28.3,84,27.2,1,5,240,3,W,83.33333333,30.8,0.19536,50,651.2,0.6512,,,,,
2025-03-22,26,30.9,28.4,80,4.8,8,6,260,4,W,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-03-23,26.2,31.2,29.3,75,0.4,8,5,300,3,NW,666.6666667,49.3,0.18056,50,4814.933333,38.51946667,,,,,
2025-03-24,28.2,31.5,29.3,76,0.2,0.3,5,260,3,NW,25,30.05,0.19596,50,195.96,0.058788,,,,,
2025-03-25,25.9,32.3,28.7,77,1.3,8,6,260,3,W,666.6666667,48.7,0.18104,50,4827.733333,38.62186667,,,,,
2025-03-26,25.7,31.8,28,82,9.9,8,6,230,4,W,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-03-27,24.9,29.2,27.2,86,5.4,8,6,260,5,W,666.6666667,47.2,0.18224,50,4859.733333,38.87786667,,,,,
2025-03-28,25.2,30.5,27.6,84,51.1,0.4,6,270,3,W,33.33333333,28.6,0.19712,50,262.8266667,0.1051306667,,,,,
2025-03-29,25.8,32.4,29.5,77,2.6,8,5,250,2,NW,666.6666667,49.5,0.1804,50,4810.666667,38.48533333,,,,,
2025-03-30,25.5,32.1,28.1,83,1,8,4,290,2,NW,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-03-31,25.2,32,29,79,17.8,8,5,260,2,W,666.6666667,49,0.1808,50,4821.333333,38.57066667,,,,,
2025-04-01,25.6,31.4,28.1,82,0.2,8,4,290,2,SW,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,7.88,629,27.7,35.42,1062.6
2025-04-02,25.9,32.2,28.3,76,4.7,8,4,190,2,S,666.6666667,48.3,0.18136,50,4836.266667,38.69013333,,,,,
2025-04-03,23.2,31.4,27,77,0,8,4,200,2,S,666.6666667,47,0.1824,50,4864,38.912,,,,,
2025-04-04,22.3,31.6,26.6,76,0,8,3,290,2,SE,666.6666667,46.6,0.18272,50,4872.533333,38.98026667,,,,,
2025-04-05,22.3,31.5,26.8,80,0,8,3,290,2,S,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,,,,,
2025-04-06,23.4,31.9,27.1,81,0,8,3,290,1,SE,666.6666667,47.1,0.18232,50,4861.866667,38.89493333,,,,,
2025-04-07,24.4,32.8,28.2,80,8888,8,4,90,2,SE,666.6666667,48.2,0.18144,50,4838.4,38.7072,,,,,
2025-04-08,25.4,31.6,28.2,79,8888,8,4,100,2,E,666.6666667,48.2,0.18144,50,4838.4,38.7072,,,,,
2025-04-09,25.9,33.3,29.1,82,2,2.4,5,150,2,SE,200,35.1,0.19192,50,1535.36,3.684864,,,,,
2025-04-10,25.9,33.4,28.9,80,7.5,8,3,140,1,SE,666.6666667,48.9,0.18088,50,4823.466667,38.58773333,,,,,
2025-04-11,25.2,33.5,28.9,80,0,8,4,150,2,SE,666.6666667,48.9,0.18088,50,4823.466667,38.58773333,,,,,
2025-04-12,24.4,32.9,27.8,83,0,8,3,120,1,S,666.6666667,47.8,0.18176,50,4846.933333,38.77546667,,,,,
2025-04-13,25.8,32,28.4,81,1.4,8,5,160,2,S,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-04-14,25.5,32.3,28.5,80,8888,5,5,280,3,W,416.6666667,41,0.1872,50,3120,15.6,,,,,
2025-04-15,28.2,33.4,30.1,72,0,8,4,300,2,NW,666.6666667,50.1,0.17992,50,4797.866667,38.38293333,,,,,
2025-04-16,25.2,32,28.1,84,28.6,8,3,250,2,SE,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-04-17,25.3,32.2,28.4,83,50.5,5.2,4,360,2,N,433.3333333,41.4,0.18688,50,3239.253333,16.84411733,,,,,
2025-04-18,26.5,32.3,29.9,77,3,7.4,6,252,4,W,616.6666667,48.4,0.18128,50,4471.573333,33.08964267,,,,,
2025-04-19,28.1,32,29.4,79,0,8,4,250,2,W,666.6666667,49.4,0.18048,50,4812.8,38.5024,,,,,
2025-04-20,25.8,32.8,28.5,81,0,8,4,210,1,C,666.6666667,48.5,0.1812,50,4832,38.656,,,,,
2025-04-21,24.8,32.5,28,81,8888,8,3,150,1,SE,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-04-22,24.8,32.7,28.4,80,0,8,3,300,1,S,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-04-23,25.5,32.4,28.1,80,1.8,8,5,150,3,SE,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-04-24,25.7,32.4,28.1,75,0,8,4,110,2,SE,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-04-25,23.5,32.4,27.2,77,0,6.3,4,170,2,SE,525,42.95,0.18564,50,3898.44,24.560172,,,,,
2025-04-26,23,32.3,27.1,78,0,8,3,310,2,SE,666.6666667,47.1,0.18232,50,4861.866667,38.89493333,,,,,
2025-04-27,22.5,31.9,26.7,74,0,8,4,160,2,SE,666.6666667,46.7,0.18264,50,4870.4,38.9632,,,,,
